Angle,Intensity
"63.80","3.39"
"64.00","3.47"
"64.20","3.42"
"64.40","3.53"
"64.60","3.53"
"64.80","3.51"
"65.00","3.14"
"65.20","3.55"
"65.40","3.56"
"65.60","3.56"
"65.80","3.34"
"66.00","3.59"
"66.20","3.75"
"66.40","4.17"
"66.60","4.17"
"66.80","4.01"
"67.00","4.51"
"67.20","4.42"
"67.40","4.79"
"67.60","4.79"
"67.80","4.50"
"68.00","3.84"
"68.20","3.92"
"68.40","3.84"
"68.60","3.84"
"68.80","3.84"
"69.00","3.46"
"69.20","3.13"
"69.40","3.51"
"69.60","3.51"
"69.80","3.05"
"70.00","3.20"
"70.20","3.20"
"70.40","3.06"
"70.60","3.06"
"70.80","3.00"
"71.00","2.93"
"71.20","2.86"
"71.40","3.45"
"71.60","3.45"
"71.80","2.81"
"72.00","3.15"
"72.20","3.07"
"72.40","3.21"
"72.60","3.21"
"72.80","3.16"
"73.00","2.69"
"73.20","2.84"
"73.40","2.83"
"73.60","2.83"
"73.80","3.00"
"74.00","2.77"
"74.20","3.09"
"74.40","2.85"
"74.60","2.85"
"74.80","3.03"
"75.00","2.89"
"75.20","3.13"
"75.40","3.26"
"75.60","3.26"
"75.80","3.56"
"76.00","3.48"
"76.20","4.37"
"76.40","4.91"
"76.60","4.91"
"76.80","5.47"
"77.00","5.59"
"77.20","6.43"
"77.40","6.26"
"77.60","6.26"
"77.80","6.14"
"78.00","5.50"
"78.20","4.35"
"78.40","3.97"
"78.60","3.97"
"78.80","3.47"
"79.00","3.17"
"79.20","2.88"
"79.40","2.90"
"79.60","2.90"
"79.80","2.92"
"80.00","2.80"
"80.20","2.83"
"80.40","2.57"
"80.60","2.57"
"80.80","2.67"
"81.00","2.75"
"81.20","2.41"
"81.40","2.69"
"81.60","2.69"
"81.80","2.62"
"82.00","2.58"
"82.20","2.52"
"82.40","2.61"
"82.60","2.61"
"82.80","2.46"
"83.00","2.40"
"83.20","2.56"
"83.40","2.34"
"83.60","2.34"
"83.80","2.65"
"84.00","2.55"
"84.20","2.46"
"84.40","2.55"
"84.60","2.55"
"84.80","2.69"
"85.00","2.66"
"85.20","2.79"
"85.40","2.76"
"85.60","2.76"
"85.80","2.80"
"86.00","3.15"
"86.20","3.66"
"86.40","3.77"
"86.60","3.77"
"86.80","4.01"
"87.00","3.80"
"87.20","3.67"
"87.40","4.05"
"87.60","4.05"
"87.80","3.67"
"88.00","3.51"
"88.20","2.87"
"88.40","2.92"
"88.60","2.92"
"88.80","2.62"
"89.00","2.56"
"89.20","2.49"
"89.40","2.45"
"89.60","2.45"
"89.80","2.52"
