Angle,Intensity
"-32.00","31.38"
"-31.80","26.78"
"-31.60","21.79"
"-31.40","21.79"
"-31.20","17.68"
"-31.00","15.01"
"-30.80","13.35"
"-30.60","13.08"
"-30.40","13.08"
"-30.20","13.77"
"-30.00","14.81"
"-29.80","16.06"
"-29.60","17.28"
"-29.40","17.28"
"-29.20","17.61"
"-29.00","17.67"
"-28.80","16.75"
"-28.60","16.11"
"-28.40","16.11"
"-28.20","15.06"
"-28.00","13.83"
"-27.80","12.93"
"-27.60","12.21"
"-27.40","12.21"
"-27.20","11.32"
"-27.00","11.30"
"-26.80","10.87"
"-26.60","10.98"
"-26.40","10.98"
"-26.20","11.05"
"-26.00","11.03"
"-25.80","11.29"
"-25.60","11.40"
"-25.40","11.40"
"-25.20","11.10"
"-25.00","11.70"
"-24.80","11.81"
"-24.60","11.97"
"-24.40","11.97"
"-24.20","12.30"
"-24.00","12.54"
"-23.80","12.39"
"-23.60","12.71"
"-23.40","12.71"
"-23.20","12.69"
"-23.00","12.68"
"-22.80","13.37"
"-22.60","13.31"
"-22.40","13.31"
"-22.20","13.69"
"-22.00","13.51"
"-21.80","14.06"
"-21.60","13.88"
"-21.40","13.88"
"-21.20","13.95"
"-21.00","13.71"
"-20.80","14.06"
"-20.60","14.19"
"-20.40","14.19"
"-20.20","14.19"
"-20.00","13.91"
"-19.80","14.49"
"-19.60","14.86"
"-19.40","14.86"
"-19.20","15.12"
"-19.00","14.94"
"-18.80","15.23"
"-18.60","14.70"
"-18.40","14.70"
"-18.20","15.16"
"-18.00","15.17"
"-17.80","15.51"
"-17.60","15.53"
"-17.40","15.53"
"-17.20","15.92"
"-17.00","15.35"
"-16.80","15.26"
"-16.60","15.00"
"-16.40","15.00"
"-16.20","15.01"
"-16.00","15.22"
"-15.80","14.70"
"-15.60","14.54"
"-15.40","14.54"
"-15.20","14.07"
"-15.00","13.85"
"-14.80","12.82"
"-14.60","12.48"
"-14.40","12.48"
"-14.20","11.68"
"-14.00","11.33"
"-13.80","11.17"
"-13.60","10.36"
"-13.40","10.36"
"-13.20","10.53"
"-13.00","10.26"
"-12.80","10.08"
"-12.60","10.05"
"-12.40","10.05"
"-12.20","10.24"
"-12.00","10.35"
"-11.80","10.36"
"-11.60","10.40"
"-11.40","10.40"
"-11.20","10.48"
"-11.00","10.68"
"-10.80","10.39"
"-10.60","11.03"
"-10.40","11.03"
"-10.20","10.74"
"-10.00","11.05"
"-9.80","11.64"
"-9.60","12.31"
"-9.40","12.31"
"-9.20","12.79"
"-9.00","12.80"
"-8.80","13.18"
"-8.60","13.49"
"-8.40","13.49"
"-8.20","14.25"
"-8.00","14.41"
"-7.80","15.99"
"-7.60","15.03"
"-7.40","15.03"
"-7.20","12.08"
"-7.00","10.97"
"-6.80","9.93"
"-6.60","6.87"
"-6.40","6.87"
"-6.20","4.98"
"-6.00","3.72"
"-5.80","3.22"
"-5.60","2.21"
"-5.40","2.21"
"-5.20","1.50"
"-5.00","0.71"
"-4.80","1.79"
"-4.60","2.36"
"-4.40","2.36"
"-4.20","2.71"
"-4.00","2.67"
"-3.80","3.09"
"-3.60","2.76"
"-3.40","2.76"
"-3.20","2.77"
"-3.00","0.87"
"-2.80","0.16"
"-2.60","0.14"
"-2.40","0.14"
"-2.20","0.17"
"-2.00","0.18"
"-1.80","0.13"
"-1.60","0.17"
"-1.40","0.17"
"-1.20","0.13"
"-1.00","0.22"
"-0.80","0.19"
"-0.60","0.12"
"-0.40","0.12"
"-0.20","0.10"
"0.00","0.29"
"0.20","0.14"
