Angle,Intensity
"-90.00","0.00"
"-89.80","4.86"
"-89.60","5.34"
"-89.40","5.34"
"-89.20","6.36"
"-89.00","6.68"
"-88.80","7.06"
"-88.60","7.99"
"-88.40","7.99"
"-88.20","8.07"
"-88.00","7.85"
"-87.80","7.24"
"-87.60","6.67"
"-87.40","6.67"
"-87.20","5.92"
"-87.00","5.25"
"-86.80","5.10"
"-86.60","4.80"
"-86.40","4.80"
"-86.20","4.85"
"-86.00","4.76"
"-85.80","4.39"
"-85.60","4.85"
"-85.40","4.85"
"-85.20","4.54"
"-85.00","4.64"
"-84.80","4.37"
"-84.60","4.24"
"-84.40","4.24"
"-84.20","4.42"
"-84.00","4.25"
"-83.80","3.84"
"-83.60","4.14"
"-83.40","4.14"
"-83.20","4.08"
"-83.00","3.83"
"-82.80","4.27"
"-82.60","4.52"
"-82.40","4.52"
"-82.20","4.44"
"-82.00","4.19"
"-81.80","4.50"
"-81.60","3.85"
"-81.40","3.85"
"-81.20","4.25"
"-81.00","4.46"
"-80.80","4.52"
"-80.60","3.96"
"-80.40","3.96"
"-80.20","4.63"
"-80.00","4.43"
"-79.80","4.22"
"-79.60","4.32"
"-79.40","4.32"
"-79.20","4.44"
"-79.00","4.15"
"-78.80","4.41"
"-78.60","4.36"
"-78.40","4.36"
"-78.20","4.53"
"-78.00","4.69"
"-77.80","4.83"
"-77.60","5.62"
"-77.40","5.62"
"-77.20","5.50"
"-77.00","5.94"
"-76.80","6.31"
"-76.60","6.55"
"-76.40","6.55"
"-76.20","6.53"
"-76.00","5.98"
"-75.80","5.76"
"-75.60","5.05"
"-75.40","5.05"
"-75.20","5.25"
"-75.00","4.61"
"-74.80","4.79"
"-74.60","4.61"
"-74.40","4.61"
"-74.20","4.44"
"-74.00","4.60"
"-73.80","4.53"
"-73.60","4.54"
"-73.40","4.54"
"-73.20","4.74"
"-73.00","4.36"
"-72.80","4.32"
"-72.60","4.56"
"-72.40","4.56"
"-72.20","4.31"
"-72.00","4.40"
"-71.80","4.38"
"-71.60","4.24"
"-71.40","4.24"
"-71.20","4.45"
"-71.00","4.51"
"-70.80","4.63"
"-70.60","4.72"
"-70.40","4.72"
