Angle,Intensity
"63.80","2.83"
"64.00","3.02"
"64.20","2.88"
"64.40","2.81"
"64.60","2.81"
"64.80","3.11"
"65.00","2.81"
"65.20","3.17"
"65.40","2.86"
"65.60","2.86"
"65.80","2.94"
"66.00","2.82"
"66.20","2.93"
"66.40","2.83"
"66.60","2.83"
"66.80","2.85"
"67.00","2.70"
"67.20","2.73"
"67.40","2.76"
"67.60","2.76"
"67.80","2.91"
"68.00","2.89"
"68.20","2.57"
"68.40","2.78"
"68.60","2.78"
"68.80","2.73"
"69.00","2.68"
"69.20","2.87"
"69.40","2.79"
"69.60","2.79"
"69.80","2.70"
"70.00","2.48"
"70.20","2.37"
"70.40","2.62"
"70.60","2.62"
"70.80","2.28"
"71.00","2.49"
"71.20","2.45"
"71.40","2.45"
"71.60","2.45"
"71.80","2.59"
"72.00","2.47"
"72.20","2.49"
"72.40","2.80"
"72.60","2.80"
"72.80","2.77"
"73.00","2.84"
"73.20","2.73"
"73.40","2.77"
"73.60","2.77"
"73.80","2.98"
"74.00","3.63"
"74.20","4.08"
"74.40","4.55"
"74.60","4.55"
"74.80","5.16"
"75.00","5.24"
"75.20","6.10"
"75.40","6.19"
"75.60","6.19"
"75.80","6.93"
"76.00","6.29"
"76.20","6.11"
"76.40","5.28"
"76.60","5.28"
"76.80","4.41"
"77.00","3.99"
"77.20","3.54"
"77.40","3.02"
"77.60","3.02"
"77.80","2.66"
"78.00","2.37"
"78.20","2.70"
"78.40","2.54"
"78.60","2.54"
"78.80","2.45"
"79.00","2.30"
"79.20","2.30"
"79.40","2.32"
"79.60","2.32"
"79.80","2.21"
"80.00","2.10"
"80.20","2.32"
"80.40","1.98"
"80.60","1.98"
"80.80","2.15"
"81.00","2.34"
"81.20","2.05"
"81.40","2.00"
"81.60","2.00"
"81.80","2.16"
"82.00","2.24"
"82.20","2.14"
"82.40","2.28"
"82.60","2.28"
"82.80","2.25"
"83.00","2.16"
"83.20","2.09"
"83.40","2.28"
"83.60","2.28"
"83.80","2.07"
"84.00","2.16"
"84.20","2.02"
"84.40","2.13"
"84.60","2.13"
"84.80","2.11"
"85.00","2.05"
"85.20","1.80"
"85.40","2.18"
"85.60","2.18"
"85.80","1.99"
"86.00","2.16"
"86.20","2.27"
"86.40","1.96"
"86.60","1.96"
"86.80","2.05"
"87.00","2.01"
"87.20","2.12"
"87.40","2.05"
"87.60","2.05"
"87.80","1.96"
"88.00","2.09"
"88.20","2.00"
"88.40","2.10"
"88.60","2.10"
"88.80","1.82"
"89.00","1.98"
"89.20","1.83"
"89.40","2.04"
"89.60","2.04"
"89.80","2.21"
