Angle,Intensity
"27.80","7.77"
"28.00","7.56"
"28.20","7.77"
"28.40","7.43"
"28.60","7.43"
"28.80","7.45"
"29.00","7.87"
"29.20","9.19"
"29.40","10.07"
"29.60","10.07"
"29.80","11.19"
"30.00","11.80"
"30.20","12.06"
"30.40","11.93"
"30.60","11.93"
"30.80","11.10"
"31.00","9.65"
"31.20","9.38"
"31.40","8.91"
"31.60","8.91"
"31.80","8.40"
"32.00","8.55"
"32.20","8.12"
"32.40","8.59"
"32.60","8.59"
"32.80","8.59"
"33.00","8.79"
"33.20","9.31"
"33.40","10.14"
"33.60","10.14"
"33.80","12.92"
"34.00","19.20"
"34.20","28.34"
"34.40","40.79"
"34.60","40.79"
"34.80","52.49"
"35.00","59.20"
"35.20","59.49"
"35.40","53.23"
"35.60","53.23"
"35.80","41.48"
"36.00","30.82"
"36.20","24.12"
"36.40","18.88"
"36.60","18.88"
"36.80","15.30"
"37.00","13.65"
"37.20","13.20"
"37.40","12.55"
"37.60","12.55"
"37.80","13.06"
"38.00","12.35"
"38.20","12.82"
"38.40","12.38"
"38.60","12.38"
"38.80","12.36"
"39.00","12.14"
"39.20","12.04"
"39.40","12.65"
"39.60","12.65"
"39.80","12.22"
"40.00","12.01"
"40.20","11.81"
"40.40","11.80"
"40.60","11.80"
"40.80","11.72"
"41.00","11.79"
"41.20","12.23"
"41.40","11.60"
"41.60","11.60"
"41.80","11.75"
"42.00","11.80"
"42.20","11.29"
"42.40","11.62"
"42.60","11.62"
"42.80","11.45"
"43.00","11.33"
"43.20","11.52"
"43.40","11.37"
"43.60","11.37"
"43.80","11.38"
"44.00","11.46"
"44.20","11.25"
"44.40","11.71"
"44.60","11.71"
"44.80","11.15"
"45.00","11.15"
"45.20","10.96"
"45.40","11.02"
"45.60","11.02"
"45.80","10.90"
"46.00","11.84"
"46.20","11.35"
"46.40","11.34"
"46.60","11.34"
"46.80","11.41"
"47.00","11.40"
"47.20","10.93"
"47.40","11.06"
"47.60","11.06"
"47.80","10.79"
"48.00","11.01"
"48.20","11.36"
"48.40","10.65"
"48.60","10.65"
"48.80","11.37"
"49.00","11.16"
"49.20","12.12"
"49.40","12.67"
"49.60","12.67"
"49.80","14.18"
"50.00","17.36"
"50.20","23.64"
"50.40","29.94"
"50.60","29.94"
"50.80","35.75"
"51.00","42.02"
"51.20","42.11"
"51.40","38.18"
"51.60","38.18"
"51.80","31.48"
"52.00","24.49"
"52.20","19.90"
"52.40","16.34"
"52.60","16.34"
"52.80","13.99"
"53.00","12.87"
"53.20","12.27"
"53.40","12.05"
"53.60","12.05"
"53.80","12.01"
"54.00","11.58"
"54.20","11.50"
"54.40","11.20"
"54.60","11.20"
"54.80","11.70"
"55.00","11.39"
"55.20","11.14"
"55.40","10.75"
"55.60","10.75"
"55.80","11.66"
"56.00","11.09"
"56.20","10.95"
"56.40","10.72"
"56.60","10.72"
"56.80","10.68"
"57.00","10.60"
"57.20","10.31"
"57.40","10.37"
"57.60","10.37"
"57.80","10.53"
"58.00","10.42"
"58.20","10.92"
"58.40","10.19"
"58.60","10.19"
"58.80","10.34"
"59.00","10.52"
"59.20","10.07"
"59.40","10.41"
"59.60","10.41"
"59.80","9.81"
"60.00","10.42"
"60.20","10.58"
"60.40","9.84"
"60.60","9.84"
"60.80","10.04"
"61.00","10.64"
"61.20","10.88"
"61.40","10.90"
"61.60","10.90"
"61.80","10.49"
"62.00","10.37"
"62.20","10.36"
"62.40","10.27"
"62.60","10.27"
"62.80","10.35"
"63.00","10.27"
"63.20","10.71"
"63.40","12.41"
"63.60","12.41"
"63.80","14.01"
"64.00","15.54"
"64.20","17.39"
"64.40","17.87"
"64.60","17.87"
"64.80","16.63"
"65.00","15.31"
"65.20","13.90"
"65.40","12.31"
"65.60","12.31"
"65.80","10.94"
"66.00","9.97"
"66.20","9.31"
"66.40","9.52"
"66.60","9.52"
"66.80","8.75"
"67.00","8.81"
"67.20","8.90"
"67.40","8.66"
"67.60","8.66"
"67.80","8.75"
"68.00","8.51"
"68.20","9.14"
"68.40","8.43"
"68.60","8.43"
"68.80","8.24"
"69.00","8.17"
"69.20","8.22"
"69.40","8.34"
"69.60","8.34"
"69.80","8.19"
"70.00","8.02"
"70.20","8.12"
"70.40","8.09"
"70.60","8.09"
"70.80","8.42"
"71.00","8.02"
"71.20","8.27"
"71.40","7.91"
"71.60","7.91"
"71.80","7.80"
"72.00","8.01"
"72.20","7.69"
"72.40","7.79"
"72.60","7.79"
"72.80","8.04"
"73.00","7.62"
"73.20","7.81"
"73.40","7.83"
"73.60","7.83"
"73.80","8.18"
"74.00","7.89"
"74.20","8.21"
"74.40","7.81"
"74.60","7.81"
"74.80","8.21"
"75.00","7.92"
"75.20","8.06"
"75.40","8.15"
"75.60","8.15"
"75.80","8.34"
"76.00","9.09"
"76.20","9.78"
"76.40","10.50"
"76.60","10.50"
"76.80","10.37"
"77.00","10.86"
"77.20","10.13"
"77.40","9.22"
"77.60","9.22"
"77.80","8.93"
"78.00","7.88"
"78.20","7.70"
"78.40","7.81"
"78.60","7.81"
"78.80","7.33"
"79.00","7.74"
"79.20","7.24"
"79.40","7.10"
"79.60","7.10"
"79.80","6.80"
"80.00","7.22"
"80.20","6.94"
"80.40","7.18"
"80.60","7.18"
"80.80","6.78"
"81.00","6.64"
"81.20","7.33"
"81.40","6.94"
"81.60","6.94"
"81.80","6.47"
"82.00","6.54"
"82.20","6.73"
"82.40","6.89"
"82.60","6.89"
"82.80","6.70"
"83.00","6.77"
"83.20","6.83"
"83.40","6.68"
"83.60","6.68"
"83.80","6.54"
"84.00","6.66"
"84.20","6.83"
"84.40","6.43"
"84.60","6.43"
"84.80","6.94"
"85.00","7.07"
"85.20","7.07"
"85.40","6.88"
"85.60","6.88"
"85.80","7.15"
"86.00","7.48"
"86.20","7.19"
"86.40","7.66"
"86.60","7.66"
"86.80","7.39"
"87.00","7.88"
"87.20","8.22"
"87.40","9.19"
"87.60","9.19"
"87.80","10.76"
"88.00","11.89"
"88.20","13.10"
"88.40","13.56"
"88.60","13.56"
"88.80","13.50"
"89.00","13.41"
"89.20","11.66"
"89.40","11.07"
"89.60","11.07"
"89.80","9.96"
