Angle,Intensity
"0.00","0.34"
"0.20","0.10"
"0.40","0.10"
"0.60","0.10"
"0.80","0.11"
"1.00","0.46"
"1.20","0.49"
"1.40","0.74"
"1.60","0.74"
"1.80","0.82"
"2.00","0.76"
"2.20","1.42"
"2.40","1.21"
"2.60","1.21"
"2.80","1.31"
"3.00","2.07"
"3.20","2.90"
"3.40","3.00"
"3.60","3.00"
"3.80","3.65"
"4.00","4.46"
"4.20","4.74"
"4.40","4.87"
"4.60","4.87"
"4.80","5.97"
"5.00","6.45"
"5.20","6.90"
"5.40","7.39"
"5.60","7.39"
"5.80","7.67"
"6.00","8.33"
"6.20","8.49"
"6.40","8.55"
"6.60","8.55"
"6.80","8.89"
"7.00","8.51"
"7.20","8.82"
"7.40","8.85"
"7.60","8.85"
"7.80","9.13"
"8.00","9.19"
"8.20","9.11"
"8.40","8.46"
"8.60","8.46"
"8.80","8.78"
"9.00","8.94"
"9.20","8.82"
"9.40","9.03"
"9.60","9.03"
"9.80","9.31"
"10.00","9.29"
"10.20","9.30"
"10.40","9.17"
"10.60","9.17"
"10.80","9.01"
"11.00","9.17"
"11.20","8.91"
"11.40","9.04"
"11.60","9.04"
"11.80","8.25"
"12.00","8.60"
"12.20","8.69"
"12.40","8.44"
"12.60","8.44"
"12.80","8.80"
"13.00","8.07"
"13.20","8.26"
"13.40","8.27"
"13.60","8.27"
"13.80","8.33"
"14.00","8.07"
"14.20","8.39"
"14.40","8.49"
"14.60","8.49"
"14.80","8.46"
"15.00","8.55"
"15.20","9.02"
"15.40","9.08"
"15.60","9.08"
"15.80","8.88"
"16.00","8.79"
"16.20","9.09"
"16.40","9.22"
"16.60","9.22"
"16.80","9.76"
"17.00","9.77"
"17.20","8.96"
"17.40","9.34"
"17.60","9.34"
"17.80","9.33"
"18.00","9.09"
"18.20","9.45"
"18.40","9.49"
"18.60","9.49"
"18.80","9.32"
"19.00","9.13"
"19.20","8.97"
"19.40","9.49"
"19.60","9.49"
"19.80","9.05"
"20.00","9.00"
"20.20","8.84"
"20.40","8.29"
"20.60","8.29"
"20.80","8.60"
"21.00","8.52"
"21.20","8.95"
"21.40","8.62"
"21.60","8.62"
"21.80","8.68"
"22.00","8.73"
"22.20","8.36"
"22.40","8.52"
"22.60","8.52"
"22.80","8.56"
"23.00","8.53"
"23.20","8.38"
"23.40","8.41"
"23.60","8.41"
"23.80","8.56"
"24.00","8.40"
"24.20","8.07"
"24.40","8.29"
"24.60","8.29"
"24.80","8.20"
"25.00","7.98"
"25.20","8.10"
"25.40","7.90"
"25.60","7.90"
"25.80","7.88"
"26.00","7.71"
"26.20","7.87"
"26.40","7.83"
"26.60","7.83"
"26.80","7.53"
"27.00","7.64"
"27.20","7.23"
"27.40","7.43"
"27.60","7.43"
